iter	Passed	Remaining
402	10284	15235
403	10315	15217
404	10337	15187
405	10362	15161
406	10388	15136
407	10415	15112
408	10445	15093
409	10474	15073
410	10507	15057
411	10532	15031
412	10562	15012
413	10590	14990
414	10619	14970
415	10647	14947
416	10701	14961
417	10744	14960
418	10786	14956
419	10824	14947
420	10853	14927
421	10877	14898
422	10898	14866
423	10919	14833
424	10941	14803
425	10964	14774
426	10984	14739
427	11005	14708
428	11027	14677
429	11047	14643
430	11070	14614
431	11092	14585
432	11118	14558
433	11140	14529
434	11164	14501
435	11189	14474
436	11228	14465
437	11256	14442
438	11295	14434
439	11327	14417
440	11355	14394
441	11384	14372
442	11411	14348
443	11434	14319
444	11460	14293
445	11486	14267
446	11511	14241
447	11533	14210
448	11561	14188
449	11583	14157
450	11605	14127
451	11628	14098
452	11654	14072
453	11677	14043
454	11700	14015
455	11722	13984
456	11746	13957
457	11769	13927
458	11792	13898
459	11813	13868
460	11849	13854
461	11885	13840
462	11930	13837
463	11973	13831
464	12003	13810
465	12027	13782
466	12051	13754
467	12071	13722
468	12097	13696
469	12123	13670
470	12146	13642
471	12170	13614
472	12196	13589
473	12220	13560
474	12243	13531
475	12267	13504
476	12291	13476
477	12311	13445
478	12333	13415
479	12362	13392
480	12383	13361
481	12404	13331
482	12428	13303
483	12450	13274
484	12474	13245
485	12497	13217
486	12517	13186
487	12538	13155
488	12559	13124
489	12580	13093
490	12608	13070
491	12626	13037
492	12645	13004
493	12665	12972
494	12687	12944
495	12711	12917
496	12733	12887
497	12762	12864
498	12792	12843
499	12815	12815
500	12833	12781
501	12861	12758
502	12883	12730
503	12910	12706
504	12933	12677
505	12964	12657
506	12990	12631
507	13016	12606
508	13043	12581
509	13078	12565
510	13112	12548
511	13153	12536
512	13222	12552
513	13269	12546
514	13300	12526
515	13331	12505
516	13358	12479
517	13384	12454
518	13409	12427
519	13431	12398
520	13453	12368
521	13476	12340
522	13504	12316
523	13531	12291
524	13555	12264
525	13582	12239
526	13612	12217
527	13637	12191
528	13664	12166
529	13696	12145
530	13727	12124
531	13763	12107
532	13787	12080
533	13812	12053
534	13838	12028
535	13866	12004
536	13888	11974
537	13908	11944
538	13928	11913
539	13949	11883
540	13975	11857
541	14005	11834
542	14024	11803
543	14045	11773
544	14071	11748
545	14097	11722
546	14123	11696
547	14146	11668
548	14165	11637
549	14190	11610
550	14215	11584
551	14241	11558
552	14266	11531
553	14288	11503
554	14308	11472
555	14329	11442
556	14351	11414
557	14375	11386
558	14401	11361
559	14423	11332
560	14443	11302
561	14465	11273
562	14490	11247
563	14510	11217
564	14534	11190
565	14560	11164
566	14582	11135
567	14607	11109
568	14627	11079
569	14647	11049
570	14667	11020
571	14689	10991
572	14715	10965
573	14741	10940
574	14767	10915
575	14795	10891
576	14821	10865
577	14839	10834
578	14863	10807
579	14882	10776
580	14901	10746
581	14922	10717
582	14943	10688
583	14967	10661
584	14996	10638
585	15017	10609
586	15042	10583
587	15066	10556
588	15085	10526
589	15106	10497
590	15127	10469
591	15147	10439
592	15166	10409
593	15188	10381
594	15216	10357
595	15242	10332
596	15268	10306
597	15290	10278
598	15312	10251
599	15335	10223
600	15355	10194
601	15375	10165
602	15395	10136
603	15415	10107
604	15440	10081
605	15462	10053
606	15487	10027
607	15507	9998
608	15529	9970
609	15555	9945
610	15579	9918
611	15601	9891
612	15624	9863
613	15649	9838
614	15673	9812
615	15700	9787
616	15724	9761
617	15751	9736
618	15777	9711
619	15800	9684
620	15822	9656
621	15843	9628
622	15869	9602
623	15895	9578
624	15916	9549
625	15940	9523
626	15967	9498
627	15995	9475
628	16019	9448
629	16052	9427
630	16079	9402
631	16100	9374
632	16122	9347
633	16145	9320
634	16165	9292
635	16188	9265
636	16218	9242
637	16242	9215
638	16262	9187
639	16285	9160
640	16312	9135
641	16337	9110
642	16361	9084
643	16382	9056
644	16400	9026
645	16419	8997
646	16444	8971
647	16468	8945
648	16494	8920
649	16517	8893
650	16541	8867
651	16564	8841
652	16593	8817
653	16618	8791
654	16640	8764
655	16658	8735
656	16678	8707
657	16707	8683
658	16733	8658
659	16757	8632
660	16778	8604
661	16805	8580
662	16835	8557
663	16859	8531
664	16886	8506
665	16912	8481
666	16937	8456
667	16961	8429
668	16985	8403
669	17010	8378
670	17031	8350
671	17056	8324
672	17077	8297
673	17100	8271
674	17119	8242
675	17140	8215
676	17163	8189
677	17191	8164
678	17214	8138
679	17242	8114
680	17263	8086
681	17283	8058
682	17304	8031
683	17328	8005
684	17349	7978
685	17369	7950
686	17389	7922
687	17413	7896
688	17435	7869
689	17459	7844
690	17479	7816
691	17503	7790
692	17525	7763
693	17550	7738
694	17571	7711
695	17591	7683
696	17610	7655
697	17628	7627
698	17652	7601
699	17680	7577
700	17704	7551
701	17724	7523
702	17745	7497
703	17767	7470
704	17790	7444
705	17811	7417
706	17832	7390
707	17856	7364
708	17877	7337
709	17899	7310
710	17918	7283
711	17946	7259
712	17972	7234
713	17993	7207
714	18012	7179
715	18038	7154
716	18062	7129
717	18087	7103
718	18111	7078
719	18137	7053
720	18163	7028
721	18191	7004
722	18217	6979
723	18246	6955
724	18276	6932
725	18300	6906
726	18322	6880
727	18343	6853
728	18366	6827
729	18388	6801
730	18410	6774
731	18431	6748
732	18454	6722
733	18479	6696
734	18505	6672
735	18529	6646
736	18551	6619
737	18572	6593
738	18594	6567
739	18615	6540
740	18639	6514
741	18661	6488
742	18685	6463
743	18711	6438
744	18733	6412
745	18755	6386
746	18777	6359
747	18801	6334
748	18824	6308
749	18849	6283
750	18871	6256
751	18896	6231
752	18920	6206
753	18943	6180
754	18968	6155
755	18992	6129
756	19029	6108
757	19063	6086
758	19095	6063
759	19121	6038
760	19141	6011
761	19163	5985
762	19188	5960
763	19215	5935
764	19247	5912
765	19273	5887
766	19300	5863
767	19334	5840
768	19360	5815
769	19387	5791
770	19408	5764
771	19429	5738
772	19450	5711
773	19475	5686
774	19499	5661
775	19523	5635
776	19550	5611
777	19578	5586
778	19606	5562
779	19641	5539
780	19672	5516
781	19768	5510
782	19845	5499
783	19875	5475
784	19899	5450
785	19924	5424
786	19949	5399
787	19971	5373
788	19992	5346
789	20015	5320
790	20039	5294
791	20074	5272
792	20107	5248
793	20144	5226
794	20180	5203
795	20241	5187
796	20278	5165
797	20303	5139
798	20325	5113
799	20352	5088
800	20373	5061
801	20396	5035
802	20421	5009
803	20447	4984
804	20474	4959
805	20500	4934
806	20528	4909
807	20551	4883
808	20576	4857
809	20606	4833
810	20640	4810
811	20664	4784
812	20693	4759
813	20724	4735
814	20766	4713
815	20800	4690
816	20834	4666
817	20860	4641
818	20884	4615
819	20909	4589
820	20933	4564
821	20959	4538
822	20983	4512
823	21008	4487
824	21035	4462
825	21063	4437
826	21086	4411
827	21112	4385
828	21133	4359
829	21159	4333
830	21180	4307
831	21201	4281
832	21229	4256
833	21254	4230
834	21278	4204
835	21301	4178
836	21328	4153
837	21351	4127
838	21372	4101
839	21395	4075
840	21415	4048
841	21442	4023
842	21472	3999
843	21499	3973
844	21524	3948
845	21545	3922
846	21570	3896
847	21594	3870
848	21620	3845
849	21644	3819
850	21665	3793
851	21685	3766
852	21710	3741
853	21735	3715
854	21759	3690
855	21784	3664
856	21807	3638
857	21832	3613
858	21856	3587
859	21882	3562
860	21903	3536
861	21928	3510
862	21951	3484
863	21975	3459
864	21997	3433
865	22020	3407
866	22046	3381
867	22068	3355
868	22094	3330
869	22119	3305
870	22144	3279
871	22170	3254
872	22193	3228
873	22220	3203
874	22247	3178
875	22275	3153
876	22305	3128
877	22328	3102
878	22352	3077
879	22377	3051
880	22399	3025
881	22423	2999
882	22448	2974
883	22477	2949
884	22504	2924
885	22525	2898
886	22548	2872
887	22571	2846
888	22593	2820
889	22619	2795
890	22643	2770
891	22673	2745
892	22703	2720
893	22730	2695
894	22759	2670
895	22788	2645
896	22820	2620
897	22844	2594
898	22873	2569
899	22893	2543
900	22915	2517
901	22938	2492
902	22958	2466
903	22990	2441
904	23014	2415
905	23041	2390
906	23068	2365
907	23089	2339
908	23112	2313
909	23137	2288
910	23160	2262
911	23188	2237
912	23210	2211
913	23234	2186
914	23259	2160
915	23287	2135
916	23310	2109
917	23333	2084
918	23356	2058
919	23379	2032
920	23402	2007
921	23425	1981
922	23447	1956
923	23472	1930
924	23500	1905
925	23519	1879
926	23541	1853
927	23561	1828
928	23583	1802
929	23606	1776
930	23628	1751
931	23648	1725
932	23670	1699
933	23695	1674
934	23717	1648
935	23739	1623
936	23762	1597
937	23784	1572
938	23805	1546
939	23828	1520
940	23848	1495
941	23870	1469
942	23894	1444
943	23917	1418
944	23939	1393
945	23960	1367
946	23981	1342
947	24002	1316
948	24025	1291
949	24045	1265
950	24068	1240
951	24087	1214
952	24105	1188
953	24123	1163
954	24143	1137
955	24160	1112
956	24179	1086
957	24198	1060
958	24219	1035
959	24237	1009
960	24255	984
961	24273	958
962	24295	933
963	24317	908
964	24335	882
965	24354	857
966	24374	831
967	24396	806
968	24417	781
969	24437	755
970	24458	730
971	24479	705
972	24500	679
973	24519	654
974	24536	629
975	24559	603
976	24580	578
977	24601	553
978	24622	528
979	24640	502
980	24660	477
981	24680	452
982	24698	427
983	24723	402
984	24743	376
985	24760	351
986	24789	326
987	24809	301
988	24829	276
989	24853	251
990	24874	225
991	24896	200
992	24917	175
993	24939	150
994	24964	125
995	24994	100
996	25023	75
997	25049	50
998	25075	25
999	25102	0
